study,author,year,journal,vol,sex,genus,species,group,source,variable,depend,Tadapt,T1,T2,X_T1,Err_T1,N_T1,X_T2,Err_T2,N_T2,Err_T1_Type,Err_T2_Type,temp range,temp treatment stage,endo/ecto,fitness,prop,notes
1,Berger,2014,Evolution,68,males,Callosobruchus,maculatus,insect,fig. 1,Total number of offspring (LRS),0,NA,29,36,53.64559226,3.80191458,41,29.31201347,3.379339365,41,SE,SE,stress,lifetime,ecto,direct,0,lome
1,Berger,2014,Evolution,68,females,Callosobruchus,maculatus,insect,fig. 1,Total number of offspring (LRS),0,NA,29,36,54.69208921,2.209762255,41,33.48758679,2.23974332,41,SE,SE,stress,lifetime,ecto,direct,0,lome
1,Berger,2014,Evolution,68,males,Callosobruchus,maculatus,insect,fig. 1,Total number of offspring (LRS),0,NA,29,36,48.75142016,3.282453187,32,19.07079739,2.11571639,32,SE,SE,stress,lifetime,ecto,direct,0,ofuya
1,Berger,2014,Evolution,68,females,Callosobruchus,maculatus,insect,fig. 1,Total number of offspring (LRS),0,NA,29,36,48.98306333,2.11603198,32,22.04681254,2.209762255,32,SE,SE,stress,lifetime,ecto,direct,0,ofuya
13,Fox,2006,Functional Ecology,20,males,Callosobruchus,maculatus,insect,fig. 1A,mg Mass loss (Male Investment),0,NA,25,30,0.330870065,0.013435725,31,0.323754072,0.013001401,27,SE,SE,natural,lifetime,ecto,indirect,0,Burkina Faso_Azuki
13,Fox,2006,Functional Ecology,20,males,Callosobruchus,maculatus,insect,fig. 1A,mg Mass loss (Male Investment),0,NA,25,30,0.343566179,0.014483768,31,0.298449966,0.016598738,27,SE,SE,natural,lifetime,ecto,indirect,0,Burkina Faso_Cowpea
13,Fox,2006,Functional Ecology,20,males,Callosobruchus,maculatus,insect,fig. 1A,mg Mass loss (Male Investment),0,NA,25,30,0.327024092,0.012847184,31,0.288243347,0.01160401,27,SE,SE,natural,lifetime,ecto,indirect,0,Burkina Faso_Mung
13,Fox,2006,Functional Ecology,20,males,Callosobruchus,maculatus,insect,fig. 1A,mg Mass loss (Male Investment),0,NA,25,30,0.306522731,0.010880136,31,0.260267204,0.011711017,26,SE,SE,natural,lifetime,ecto,indirect,0,South India_Azuki
13,Fox,2006,Functional Ecology,20,males,Callosobruchus,maculatus,insect,fig. 1A,mg Mass loss (Male Investment),0,NA,25,30,0.261368751,0.013791367,31,0.210467843,0.011169685,26,SE,SE,natural,lifetime,ecto,indirect,0,South India_Cowpea
24,Mehlis,2014,Evolutionary Ecology,28,males,Gasterosteus ,aculeatus ,fish,fig. 1,"Mean Fertilization Success at 100,000 sperm (%)",1,NA,15,25,37.8976845,28.98483459,20,60.68914229,36.04709596,20,SD,SD,natural,adults,ecto,indirect,2,
